title,artist,songid,streams,region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
David,BLANCO,5ywyHzNUe5Jc1qg44fio5x,924439,it,0.517,0.744,9,-4.281,0,0.0508,0.344,7.79e-06,0.446,0.295,92.927,193548,4
Melodia proibita,Irama,3WZ0y6ycgr5PpOeygirDvu,875410,it,0.615,0.921,0,-5.674,1,0.0422,0.0895,0.0,0.107,0.413,136.983,194553,4
Beggin',Måneskin,3Wrjm47oTz2sjIgck11l5e,874974,it,0.714,0.8,11,-4.808,0,0.0504,0.127,0.0,0.359,0.589,134.002,211560,4
Never Going Home,Kungs,0xfMlIW8lS40qvpsUw1l0X,872140,it,0.836,0.846,0,-4.673,1,0.0392,0.0907,0.047,0.057,0.942,122.042,169945,4
In Da Getto,"J Balvin, Skrillex",1q0PYXTbDsirp2l74ng6pn,837908,it,0.924,0.723,8,-3.142,1,0.0466,0.0177,2.61e-05,0.113,0.643,126.998,130667,4
Tuttecose,"Gazzelle, Mara Sattei",6KLjClrXcuXiX4PWGHtmDk,814819,it,0.661,0.64,0,-4.52,1,0.0479,0.198,0.0,0.125,0.659,83.027,197957,4
Woman,Doja Cat,6Uj1ctrBOjOas8xZXGqKk4,804185,it,0.824,0.764,5,-4.175,0,0.0854,0.0888,0.00294,0.117,0.881,107.998,172627,4
10 RAGAZZE (con ERNIA),"Rkomi, MACE",4rstEjIOddR5CuzzLv2bhS,801180,it,0.707,0.674,0,-5.717,0,0.193,0.261,0.0,0.145,0.824,83.066,174727,4
Movimento lento (feat. Federico Rossi),Annalisa,3H6wIwh1C3GVJI0LaWQF7P,797370,it,0.731,0.92,6,-3.724,1,0.0435,0.105,1.4e-06,0.0956,0.871,100.0,193200,4
Ferma A Guardare (feat. Pinguini Tattici Nucleari),Ernia,1eDC4NiUYgQSKpKDIvXxi4,765805,it,0.585,0.724,9,-5.611,0,0.0967,0.445,0.0,0.1,0.547,162.05,213543,4
Magari no,Tommaso Paradiso,20PzhsnRtXAZZv5EymhQsZ,720654,it,0.483,0.842,3,-4.33,1,0.0973,0.00634,0.0,0.181,0.273,161.917,229904,4
Thunder,"Gabry Ponte, LUM!X, Prezioso",2USlegnFJLrVLpoVfPimKB,713855,it,0.67,0.896,1,-4.673,1,0.058,0.0342,3.21e-05,0.344,0.403,101.216,160000,3
Don't Go Yet,Camila Cabello,1058fW9H3fZA6QjYCdOBad,702632,it,0.666,0.796,10,-6.967,0,0.103,0.0492,0.0,0.0442,0.61,110.108,164842,4
Pistolero,Elettra Lamborghini,6Y3E68GAhdvbJramkIOKJK,692541,it,0.712,0.758,11,-6.27,1,0.108,0.0182,0.0,0.0823,0.508,97.023,197332,4
love nwantiti (ah ah ah),CKay,2Xr1dTzJee307rmrkt8c0g,687289,it,0.727,0.739,8,-3.805,1,0.0411,0.365,0.00137,0.161,0.533,93.005,145800,4
Fuori è notte,Il Tre,0gbl0gHhh40FudCySvWJNR,686357,it,0.527,0.741,10,-5.362,1,0.131,0.3,0.0,0.191,0.492,80.696,172875,4
Loca,Aka 7even,6uS2uan3JwpHko4E8Bg0UR,680646,it,0.7,0.812,0,-5.063,0,0.0995,0.243,0.0,0.126,0.825,101.038,146587,4
Giovane e triste,Nashley,56WecW5HnWstqg0GvhseEP,678110,it,0.589,0.461,0,-8.557,0,0.278,0.521,0.0,0.103,0.694,80.14,186079,4
Balaclava (feat. Capo Plaza),Tony Effe,5yG2Z6SiaYbDy04enXnkMS,674377,it,0.761,0.657,4,-6.419,1,0.177,0.0814,0.0,0.278,0.726,144.11,187550,4
MONTERO (Call Me By Your Name),Lil Nas X,1SC5rEoYDGUK4NfG82494W,660642,it,0.593,0.503,8,-6.725,0,0.22,0.293,0.0,0.405,0.71,178.781,137704,4
My Universe,"Coldplay, BTS",3FeVmId7tL5YN8B7R3imoM,658835,it,0.588,0.701,9,-6.39,1,0.0402,0.00813,0.0,0.2,0.443,104.988,228000,4
Shivers,Ed Sheeran,75MNhvTCCKsST3YqqUiU9r,657677,it,0.788,0.859,2,-2.724,1,0.0856,0.281,0.0,0.0424,0.822,141.02,207853,4
Ridere,Pinguini Tattici Nucleari,5LZVK19ieaV8Mk9FsqTL3F,655064,it,0.713,0.902,9,-3.009,1,0.0378,0.0493,0.0,0.0781,0.72,116.909,214733,4
Un altro ballo (feat. Anitta),Fred De Palma,0pmtvLQaPHx6nqZmi2KDbr,653376,it,0.777,0.711,2,-5.697,1,0.139,0.101,0.0,0.0802,0.899,126.05,167720,4
THATS WHAT I WANT,Lil Nas X,0e8nrvls4Qqv5Rfa2UhqmO,625394,it,0.737,0.846,1,-4.51,0,0.22,0.00614,0.0,0.0486,0.546,87.981,143901,4
Mohicani (feat. Baby K),Boomdabash,5Wml9i3afqwcm8UNDD1GXw,609155,it,0.84,0.648,11,-6.051,1,0.157,0.0286,0.0,0.098,0.628,99.981,171675,4
Non è mai troppo tardi,Federico Rossi,0tsYxB1pizmaX2jEd5XVar,589278,it,0.85,0.745,0,-4.244,1,0.0806,0.0246,0.0,0.138,0.694,127.017,162148,4
Way 2 Sexy (with Future & Young Thug),Drake,0k1WUmIRnG3xU6fvvDVfRG,583399,it,0.803,0.597,11,-6.035,0,0.141,0.000619,4.5e-06,0.323,0.331,136.008,257605,4
Chello Che Vuó (feat. Geolier),Lele Blade,6sDPfKayq1ESoRhJpRHG77,565142,it,0.687,0.507,6,-9.089,0,0.0915,0.115,1.28e-06,0.184,0.348,88.033,201440,4
Ti raggiungerò,Fred De Palma,3cqu5fPwdsXZHIRpDeXPoh,565094,it,0.722,0.75,9,-4.477,0,0.0649,0.187,0.0,0.2,0.737,125.036,164160,4
ZITTI E BUONI,Måneskin,776AftMmFFAWUIEAb3lHhw,558910,it,0.625,0.939,4,-3.115,0,0.0669,0.00138,0.0,0.424,0.644,102.999,194787,4
Ricordarmi di scordarti,Mida,7HfIA6XWVZWsLC7SSBdavy,555503,it,0.378,0.691,0,-5.103,1,0.0475,0.185,0.0,0.446,0.346,96.953,144278,4
Fendi belt,"Shiva, Paky",3mYQaVTYv6suVMD1MjPBlR,549644,it,0.841,0.535,6,-8.758,1,0.356,0.138,0.0,0.111,0.683,119.831,148000,4
Ma Chérie (feat. Capo Plaza),BaGang,56oawXplSFrfIJSyZjBgez,549594,it,0.807,0.746,11,-9.595,0,0.143,0.341,0.000155,0.358,0.728,95.044,159750,4
Vertigine,Elodie,3fc6eZjU7Mv7gJUfxrbfMu,545796,it,0.625,0.69,7,-6.153,1,0.0543,0.374,0.0,0.132,0.353,144.061,217398,4
Quanto ti vorrei,"chiello, Shablo",1AC9rHDPQC3QoC3iYPeSEI,545032,it,0.476,0.711,2,-5.769,1,0.0336,0.00721,1.81e-06,0.0842,0.756,185.996,180343,4
Qué Más Pues?,"J Balvin, Maria Becerra",6D2TCm4nf5nxAcdGJ7w3QP,536175,it,0.903,0.817,8,-3.972,1,0.095,0.0272,0.000311,0.242,0.732,102.014,217360,4
Destri,Gazzelle,53LX6p75hOcCtAelMDyB8B,536145,it,0.459,0.696,8,-4.953,1,0.0406,0.126,0.0,0.198,0.422,85.819,185503,4
Superclassico,Ernia,6Ahg1hncxUdK0ICqU03BCu,530895,it,0.623,0.663,11,-6.458,1,0.142,0.0624,4.49e-06,0.0922,0.346,149.91,172200,4
Open Bar,Il Pagante,3EyZw5sCXxOkE8EWsOIkB1,526411,it,0.843,0.879,11,-4.046,0,0.151,0.088,0.0,0.056,0.824,122.019,190328,4
lady,sangiovanni,1h9HxkDH67X8cig593BBOb,520607,it,0.755,0.732,0,-5.937,1,0.0676,0.107,0.0,0.124,0.606,118.088,156805,4
BANDITO (feat. Emis Killa & Paky),Don Joe,1fGXZPAjsxgy9zTCAAaLHM,511141,it,0.743,0.893,1,-3.816,1,0.102,0.0454,0.0,0.0646,0.491,135.94,156080,4
Yo No Sé,Rvfv,43ic0un1f9Nak0ZCQgvKjY,510233,it,0.917,0.54,1,-6.63,0,0.0954,0.29,0.000197,0.0937,0.747,125.048,168960,4
Run,OneRepublic,6KL88T4Ma4ABXqzgUoEwkd,509124,it,0.682,0.72,11,-8.176,0,0.0382,0.321,0.0,0.205,0.649,116.988,168260,4
La zone (feat. Shiva),Rhove,2Q1ICiLBk9lmLQz7GhMoWB,508646,it,0.868,0.614,1,-4.652,0,0.0607,0.0277,0.0,0.0868,0.9,130.01,158769,4
Puta,Escomar,1pAjW35q6iYY9zfcb2KCzz,502032,it,0.765,0.718,0,-7.091,0,0.05,0.314,0.0,0.166,0.836,140.05,136001,4
love nwantiti (feat. Dj Yo! & AX'EL) - Remix,CKay,4gvrJnKCKIPiacNsWVQwEU,501082,it,0.579,0.596,8,-4.823,1,0.0561,0.436,0.0938,0.0549,0.443,119.9,188369,3
OUT OUT (feat. Charli XCX & Saweetie),"Joel Corry, Jax Jones",6Dy1jexKYriXAVG6evyUTJ,495990,it,0.787,0.833,8,-4.403,1,0.0478,0.018,0.00747,0.0374,0.796,123.97,162604,4
Body (Remix) [feat. Capo Plaza & Rondodasosa],"Tion Wayne, Russ Millions",1JAkXiY10vwLhSbcsiimrp,495557,it,0.883,0.716,7,-8.127,1,0.414,0.435,0.0,0.0801,0.761,141.066,205106,4
Fantastica,"Rocco Hunt, Boomdabash",1BmVOPdJ1d5cpRbqzA7rJK,488063,it,0.582,0.78,0,-6.752,1,0.228,0.431,0.0,0.117,0.726,87.434,193737,4
Take My Breath,The Weeknd,6M3PsepEj5gyJoIi7Xvr7u,470052,it,0.747,0.739,8,-6.008,1,0.0487,0.0106,2.22e-05,0.101,0.523,120.996,220196,4
DIECIMILAVOCI (con ARIETE),Rkomi,2u2ZTMuRZx0UG7g7w4J76R,462222,it,0.677,0.47,0,-8.17,0,0.0336,0.647,0.0,0.416,0.525,122.089,170400,4
CI SARÒ,Alfa,1NsIhiM0a8f2Ot33mhudfo,462165,it,0.681,0.726,6,-6.1,0,0.119,0.236,0.0,0.343,0.547,105.015,180714,4
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"Riton, Nightcrawlers",4cG7HUWYHBV6R6tHn1gxrl,459564,it,0.824,0.862,2,-3.424,1,0.126,0.0076,0.000132,0.303,0.801,122.98,169153,4
Rubini (feat. Elisa),Mahmood,0LgTs0nP7zgSaCMQHGsnEh,454179,it,0.563,0.592,0,-6.096,1,0.0793,0.658,0.0,0.127,0.301,135.061,228362,4
In un'ora,Shade,2g7xewu0kXt7Uo3X8MBlgj,453971,it,0.776,0.82,11,-4.261,0,0.108,0.239,0.0,0.552,0.827,120.035,182500,4
Meglio di sera (feat. Álvaro De Luna & Astol),Emma Muscat,6SRvdgAhYkPso4J09N23fC,443924,it,0.802,0.848,0,-4.413,0,0.0501,0.0233,0.0,0.0458,0.877,130.021,176538,4
Di Notte (feat. Sfera Ebbasta & Carl Brave),Ernia,79VpbVJ1asRXWjkbvlxFED,432568,it,0.765,0.69,0,-6.618,0,0.152,0.0469,0.0,0.159,0.858,90.965,224176,4
Go Go Jack,"MINUR, Simba La Rue",1PmoesTamml0fTaUiTxxe5,430924,it,0.615,0.746,8,-7.032,0,0.401,0.0227,3.11e-06,0.066,0.841,141.418,177465,4
good 4 u,Olivia Rodrigo,4ZtFanR9U6ndgddUvNcjcG,428864,it,0.563,0.664,9,-5.044,1,0.154,0.335,0.0,0.0849,0.688,166.928,178147,4
Scooby Doo,Pinguini Tattici Nucleari,1P6TlFb8EVH2nCX3luVpZW,428584,it,0.74,0.743,6,-4.166,1,0.137,0.0477,0.0,0.0925,0.773,135.071,179125,4
Life Goes On,Oliver Tree,0eu4C55hL6x29mmeAjytzC,427462,it,0.7,0.49,0,-5.187,1,0.076,0.186,0.0,0.117,0.569,79.982,161803,4
Happier Than Ever,Billie Eilish,4RVwu0g32PAqgUiJoXsdF8,423468,it,0.332,0.225,0,-8.697,1,0.0348,0.767,0.00349,0.128,0.297,81.055,298899,3
Your Love (9PM),"ATB, Topic, A7S",5YaskwnGDZFDRipaqzbwQx,422874,it,0.669,0.784,7,-5.603,1,0.112,0.194,6.28e-06,0.115,0.517,125.993,150053,4
Non Fare Così,Capo Plaza,769M2rTiAoL7x2lKDHLjRa,419753,it,0.673,0.53,4,-9.074,0,0.0637,0.384,0.0,0.0594,0.43,122.074,192787,4
Parlami,"Fasma, GG",00QN58Gx571pB1MEuBAcmL,415556,it,0.548,0.919,9,-5.348,1,0.19,0.255,0.0,0.0984,0.385,165.942,169181,4
Salsa,"J-AX, Jake La Furia",5lHIcwvuMNAWRP8OQwpou7,408938,it,0.79,0.781,1,-5.998,0,0.0962,0.0332,0.0,0.223,0.925,129.976,194880,4
Todo De Ti,Rauw Alejandro,5RwV8BvLfX5injfqYodke9,402435,it,0.78,0.719,3,-3.613,0,0.0506,0.302,0.000196,0.0931,0.336,127.962,199604,4
Musica leggerissima,"Colapesce, Dimartino",4LAWJfQbfeMrlX0ShqhC2a,396478,it,0.676,0.792,2,-4.1,0,0.0265,0.012,0.0,0.262,0.674,119.98,236720,4
Fair Trade (with Travis Scott),Drake,40iJIUlhi6renaREYGeIDS,390017,it,0.666,0.465,1,-8.545,1,0.26,0.0503,0.0,0.215,0.292,167.937,291175,4
Las Vegas,Tancredi,34fqJK3MV1eToqwBm6vo33,384533,it,0.712,0.732,7,-5.771,0,0.0619,0.168,0.0,0.209,0.807,108.006,135372,4
SHIMMY SHIMMY,"Takagi & Ketra, Giusy Ferreri",1stFp5p3h2svKierTqfEN6,382193,it,0.751,0.74,7,-6.826,1,0.0438,0.0285,4.87e-06,0.13,0.756,115.94,160119,4
L,ARIETE,1zDFKQ2JfsRQpQSivgFFkR,378369,it,0.556,0.515,1,-9.024,1,0.0289,0.169,0.0,0.162,0.384,79.952,159450,4
Love Again,Dua Lipa,4rPkN1FMzQyFNP9cLUGIIB,372200,it,0.659,0.667,11,-4.668,0,0.0339,0.00173,2.85e-05,0.1,0.468,115.982,258004,4
La genesi del tuo colore,Irama,0HyDNYQmQ3obfA81D3y9tG,367728,it,0.527,0.75,6,-5.449,0,0.11,0.0254,0.0,0.108,0.38,128.006,228984,4
Effe,Tony Effe,56nvQibJaC1V84wVMqA3Ck,365903,it,0.629,0.808,7,-6.101,1,0.051,0.00331,0.000132,0.0709,0.503,96.032,151440,4
VOCE,Madame,4ylL1oPx1rY1yFivslLFOR,364275,it,0.615,0.834,8,-5.471,1,0.0667,0.105,0.0,0.157,0.341,112.602,211411,4
Iko Iko (My Bestie),"Justin Wellington, Small Jam",7MC4XR9M9amdmKQr2iDF7i,361681,it,0.862,0.753,5,-5.356,1,0.0625,0.131,2.01e-06,0.077,0.827,105.039,182857,4
Ke Lo Ke (feat. Lazza & Gazo),Tony Effe,0eiF9S0zXS0uAUPzb0gP8i,358541,it,0.52,0.686,1,-6.741,1,0.4,0.0732,0.0,0.126,0.361,109.964,141560,3
CRUDELIA - I nervi,Marracash,5dsz7MTrNdN9aMTrnp7sOG,358054,it,0.547,0.554,7,-7.563,1,0.102,0.149,0.0,0.344,0.0702,82.178,230923,3
Casablanca (feat. Morad),"BaGang, Bobo",3n348I4uE5GZ3tprVdqzPO,356414,it,0.7,0.442,7,-11.873,1,0.0557,0.232,1.86e-05,0.311,0.454,120.017,274250,4
Pasticche (feat. Capo Plaza),"VillaBanks, Linch, Reizon",7KnC2wSD0I5Fju3A7qCFX8,356339,it,0.725,0.781,8,-7.035,0,0.0611,0.0153,9.66e-06,0.0686,0.397,130.986,196742,4
Love Tonight - Edit,Shouse,6OufwUcCqo81guU2jAlDVP,354069,it,0.727,0.681,5,-7.114,0,0.0265,0.00214,0.000307,0.0861,0.448,123.028,241970,4
Need To Know,Doja Cat,3Vi5XqYrmQgOYBajMWSvCi,353893,it,0.664,0.609,1,-6.509,1,0.0707,0.304,0.0,0.0926,0.194,130.041,210560,4
Dancing On Dangerous (feat. Sofía Reyes),"Imanbek, Sean Paul",6OYZvwKN8GaauTrJS1TuuH,352146,it,0.659,0.86,1,-2.927,0,0.0507,0.226,3.32e-06,0.0902,0.711,105.063,124065,4
Lento,"Boro Boro, Don Joe, MamboLosco",0iRKVjfQzpr41T3WsU7shl,349508,it,0.651,0.864,8,-5.799,0,0.225,0.378,0.0,0.227,0.812,181.936,162363,4
Non Abbiamo Età,Luche,0NwuXciw6eQc4edjwSBnV3,348233,it,0.372,0.689,6,-4.711,1,0.243,0.0522,0.0,0.154,0.191,193.259,181661,4
Wasted Love (feat. Lagique),Ofenbach,2pPO9YecZimmuVQfIzfV6U,347930,it,0.734,0.855,6,-4.578,0,0.135,0.0821,4.73e-06,0.0901,0.54,121.955,139563,4
SLATT (feat. Capo Plaza),Rondodasosa,1YvhcTM8aIRTg03AavA2HJ,347252,it,0.778,0.488,1,-5.361,1,0.0489,0.0719,0.0,0.0935,0.457,133.052,217444,4
A Un Passo Dalla Luna,"Rocco Hunt, Ana Mena",3YNcQUeVOpM3SDmwBeGfMK,346736,it,0.755,0.78,10,-5.324,1,0.0429,0.39,0.0,0.34,0.897,121.97,167313,4
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,4iJyoBOLtHqaGxP12qzhQI,345130,it,0.677,0.696,0,-6.181,1,0.119,0.321,0.0,0.42,0.464,90.03,198082,4
Mille guerre,ARIETE,3CXFLrWD9LoyPbKPTSUkQH,344373,it,0.538,0.579,6,-6.986,1,0.114,0.537,0.0,0.165,0.616,166.053,137562,5
Estate,Will,7AKMq2HTg8FQs9LE0v9uoy,343890,it,0.545,0.545,1,-6.438,1,0.039,0.807,1.19e-05,0.114,0.244,108.039,186148,4
Piazza Di Spaccio (feat. Simba La Rue),167 Gang,0kowoL7HY8wPI6XhWLfPIT,340928,it,0.775,0.586,9,-8.246,1,0.272,0.0678,0.0,0.345,0.746,154.894,146529,4
Brivido,"Guè Pequeno, Marracash",7fH13hSOyNoeiDGbjEnTUC,340474,it,0.628,0.69,7,-6.273,0,0.338,0.237,0.0,0.0899,0.431,82.285,227693,4
IL CIELO NELLA STANZA (feat. NSTASIA),Salmo,2fkVZYFv9hOejIsLzZy8ad,334385,it,0.755,0.501,1,-9.551,1,0.189,0.0867,1.45e-06,0.146,0.267,134.998,186213,4
Topless,"Geeno, Luche, CoCo",2HjM0ufsJtI0zBBeFIpEog,331912,it,0.709,0.618,9,-10.001,1,0.125,0.159,0.0,0.167,0.87,91.991,180063,4
Bongo Cha Cha Cha,Goodboys,7J4zszAZxAyowZp7gNUIUI,330339,it,0.817,0.974,5,-5.703,0,0.0473,0.00664,0.255,0.0651,0.973,126.006,113128,4
Marocchino,BaGang,0f2wkDmAlLAo90gE5d1yPU,330219,it,0.729,0.68,6,-8.22,0,0.267,0.398,2.54e-05,0.34,0.72,79.973,133218,4
Panama (feat. Aya Nakamura),Capo Plaza,2ijYyMdMODsg7Zdnyd3gju,329805,it,0.851,0.689,1,-5.733,0,0.149,0.0234,0.0,0.0628,0.248,100.991,172988,4
Rozzi,Paky,3Y00k9cPoW8BnJesUEFoWn,329190,it,0.874,0.487,9,-9.806,1,0.312,0.103,2.72e-06,0.103,0.724,131.088,163053,4
